iter	Logloss
0	0.6824915771
1	0.6725823975
2	0.6632092285
3	0.6545527954
4	0.6462504883
5	0.6382959595
6	0.630814209
7	0.623727417
8	0.6168287354
9	0.6104834595
10	0.6044758301
11	0.5988569336
12	0.5936021729
13	0.5884798584
14	0.5836574707
15	0.5789870605
16	0.5746550903
17	0.5704177856
18	0.566487793
19	0.5626915894
20	0.559097229
21	0.5557032471
22	0.5525479736
23	0.5494892578
24	0.5465474854
25	0.5438422852
26	0.5411278076
27	0.5388748779
28	0.536571167
29	0.5343310547
30	0.532256897
31	0.530246521
32	0.5283753052
33	0.5266104736
34	0.5249146729
35	0.523145874
36	0.521482666
37	0.5199696045
38	0.5185378418
39	0.5172977905
40	0.5159576416
41	0.5147129517
42	0.513649231
43	0.5125332642
44	0.5114481506
45	0.5103425598
46	0.5093511658
47	0.5084447937
48	0.5075153198
49	0.5067119751
50	0.5058044434
51	0.5049523926
52	0.504149353
53	0.5033965454
54	0.5026626282
55	0.5021550293
56	0.5015436096
57	0.5008822021
58	0.5002349854
59	0.4996717529
60	0.4991279297
61	0.4985755005
62	0.4979950867
63	0.4975180359
64	0.4971159058
65	0.4965119934
66	0.4960929565
67	0.4955753784
68	0.4951379395
69	0.4947401123
70	0.4942501526
71	0.4938716431
72	0.4935673523
73	0.4931689453
74	0.4927035522
75	0.4923418579
76	0.4920142822
77	0.4916292114
78	0.4913536987
79	0.4910766296
80	0.4908175049
81	0.4904278564
82	0.4901148376
83	0.4898553162
84	0.4895061035
85	0.489259491
86	0.4889155273
87	0.4886182861
88	0.48834552
89	0.4880872498
90	0.4877921753
91	0.4874899292
92	0.48724823
93	0.4870067444
94	0.4867183838
95	0.4864373779
96	0.4861870117
97	0.4859515076
98	0.4856625061
99	0.4853175964
100	0.484958252
101	0.484757782
102	0.4845245361
103	0.4843526001
104	0.4840953674
105	0.4838084106
106	0.4836150513
107	0.4834047241
108	0.4831245117
109	0.4828979187
110	0.4826195374
111	0.4823010864
112	0.482076416
113	0.4820498352
114	0.4818201294
115	0.4816616211
116	0.4814361572
117	0.4812171326
118	0.4809029541
119	0.4806401367
120	0.4803723145
121	0.480007019
122	0.4798178711
123	0.4795904236
124	0.4793713684
125	0.4791315918
126	0.4788984375
127	0.4786643677
128	0.4783203735
129	0.4779692078
130	0.4777180481
131	0.4775205383
132	0.4773342285
133	0.4772162476
134	0.4769539185
135	0.4767846985
136	0.4765509033
137	0.4763626099
138	0.4761168823
139	0.4759984741
140	0.4757965698
141	0.4756376953
142	0.4754315796
143	0.475170166
144	0.4749971313
145	0.4747683105
146	0.4745066223
147	0.4743204956
148	0.4741556396
149	0.473940094
150	0.4737036438
151	0.4735135498
152	0.4733164673
153	0.4730966797
154	0.4728817749
155	0.4726881714
156	0.4725047302
157	0.4722869873
158	0.4721399536
159	0.4719769592
160	0.4718179932
161	0.4716445312
162	0.4714570923
163	0.4712138062
164	0.4710460815
165	0.4708535767
166	0.4706536255
167	0.4703911133
168	0.4701542053
169	0.4700298157
170	0.469791626
171	0.4696722412
172	0.469540802
173	0.4693919678
174	0.4692489624
175	0.468928833
176	0.4687514648
177	0.4684723511
178	0.4681873169
179	0.467987915
180	0.4678313599
181	0.4676839294
182	0.4674963074
183	0.4672140503
184	0.4670546265
185	0.4668891296
186	0.4667026978
187	0.4664628296
188	0.4662444153
189	0.4660670776
190	0.4658382263
191	0.4656368713
192	0.4654349365
193	0.4652602844
194	0.4650452881
195	0.4649503784
196	0.4648109131
197	0.464737854
198	0.4645983582
199	0.4644040222
200	0.4642484436
201	0.4640823669
202	0.4638536377
203	0.4636711426
204	0.4634240112
205	0.4631801147
206	0.4630096436
207	0.4627956848
208	0.4625882568
209	0.4624110718
210	0.4621619873
211	0.4619990234
212	0.4618001099
213	0.4615617981
214	0.4614228821
215	0.4612229309
216	0.4609841003
217	0.4606842651
218	0.4605239868
219	0.4603330383
220	0.4601271362
221	0.4598757935
222	0.4597073669
223	0.4594975586
224	0.4592705994
225	0.4591287842
226	0.4588890991
227	0.4587111816
228	0.4584580078
229	0.458302063
230	0.4581298828
231	0.4578778076
232	0.4576888428
233	0.4574400024
234	0.4572924805
235	0.4570785522
236	0.456946228
237	0.4567437439
238	0.4565966797
