iter	Passed	Remaining
0	168	168214
1	176	88211
2	185	61618
3	194	48485
4	204	40707
5	213	35441
6	221	31477
7	229	28489
8	236	26081
9	244	24228
10	252	22673
11	259	21373
12	265	20153
13	272	19200
14	280	18412
15	288	17724
16	296	17117
17	303	16552
18	311	16095
19	319	15665
20	327	15276
21	335	14910
22	343	14587
23	350	14263
24	358	13972
25	365	13708
26	373	13467
27	379	13157
28	387	12962
29	394	12770
30	402	12570
31	409	12388
32	416	12195
33	423	12035
34	431	11887
35	439	11757
36	446	11610
37	453	11481
38	460	11345
39	468	11236
40	475	11114
41	482	11014
42	489	10899
43	496	10793
44	503	10694
45	511	10603
46	518	10517
47	526	10432
48	533	10344
49	539	10259
50	547	10180
51	554	10100
52	561	10025
53	568	9956
54	575	9884
55	580	9793
56	587	9726
57	594	9657
58	601	9599
59	608	9533
60	615	9475
61	622	9416
62	629	9355
63	636	9306
64	643	9251
65	650	9199
66	656	9144
67	664	9101
68	670	9049
69	677	9000
70	684	8957
71	691	8910
72	698	8868
73	705	8823
74	712	8790
75	719	8744
76	726	8702
77	733	8666
78	740	8630
79	746	8584
80	753	8544
81	759	8507
82	766	8469
83	773	8437
84	780	8401
85	787	8365
86	794	8332
87	801	8301
88	807	8270
89	814	8239
90	821	8205
91	828	8178
92	835	8147
93	842	8122
94	849	8095
95	856	8066
96	863	8038
97	869	8007
98	877	7982
99	883	7954
100	891	7932
101	897	7904
102	905	7883
103	912	7862
104	920	7847
105	927	7824
106	935	7807
107	943	7792
108	950	7772
109	959	7759
110	966	7736
111	972	7714
112	980	7693
113	984	7651
114	990	7626
115	998	7606
116	1005	7586
117	1012	7566
118	1019	7545
119	1026	7525
120	1032	7501
121	1039	7482
122	1046	7460
123	1053	7442
124	1060	7424
125	1067	7407
126	1074	7388
127	1081	7367
128	1088	7350
129	1095	7329
130	1102	7315
131	1109	7295
132	1116	7280
133	1123	7260
134	1130	7244
135	1137	7224
136	1144	7206
137	1151	7190
138	1158	7177
139	1165	7161
140	1172	7143
141	1179	7127
142	1186	7110
143	1193	7094
144	1200	7076
145	1207	7061
146	1214	7047
147	1221	7031
148	1228	7016
149	1235	7000
150	1242	6984
151	1249	6970
152	1256	6953
153	1262	6937
154	1270	6925
155	1277	6910
156	1284	6895
157	1290	6878
158	1297	6865
159	1304	6848
160	1311	6836
161	1318	6819
162	1325	6805
163	1332	6790
164	1339	6777
165	1346	6763
166	1352	6748
167	1359	6735
168	1366	6721
169	1373	6708
170	1380	6693
171	1387	6679
172	1394	6665
173	1400	6650
